	city	color	doors	prise	daytime	neighborhood	car_age	found
57	Saint Petersburg	blue	2	200-300k	evening	good	2	found
58	Kazan	red	4	150-200k	morning	mixed	5+	found
59	Chelyabinsk	white	5+	500-700k	morning	good	1	found
60	Saint Petersburg	red	4	2000k+	morning	good	3	not found
61	Kazan	white	4	150-200k	evening	bad	3	found
62	Yekaterinburg	blue	4	300-500k	evening	bad	5+	not found
63	Saint Petersburg	white	2	700-1000k	morning	mixed	1	not found
64	Yekaterinburg	blue	4	2000k+	evening	good	2	not found
65	Yekaterinburg	black	5+	2000k+	afternoon	mixed	2	found
66	Yekaterinburg	red	4	150-200k	morning	good	2	not found
67	Chelyabinsk	grey	2	300-500k	night	bad	4	not found
68	Yekaterinburg	grey	5+	500-700k	evening	mixed	1	found
69	Novosibirsk	red	5+	150-200k	afternoon	good	3	not found
70	Novosibirsk	white	5+	300-500k	night	bad	4	found
71	Samara	black	5+	2000k+	afternoon	bad	5+	found
72	Kazan	grey	5+	300-500k	morning	good	2	found
73	Kazan	red	5+	1000-2000k	afternoon	good	1	found
74	Chelyabinsk	red	5+	300-500k	afternoon	bad	4	not found
75	Moscow	white	5+	300-500k	afternoon	good	1	found
76	Kazan	red	2	500-700k	evening	bad	3	not found
77	Saint Petersburg	grey	5+	200-300k	afternoon	good	1	found
78	Yekaterinburg	grey	2	300-500k	morning	bad	4	not found
79	Chelyabinsk	blue	5+	700-1000k	morning	bad	5+	not found
80	Samara	blue	2	1000-2000k	morning	bad	3	found
81	Moscow	blue	4	700-1000k	afternoon	good	4	found
82	Chelyabinsk	black	2	1000-2000k	afternoon	bad	1	found
83	Novosibirsk	white	5+	300-500k	evening	bad	5+	not found
84	Novosibirsk	grey	5+	1000-2000k	morning	bad	5+	found
85	Kazan	black	4	2000k+	afternoon	bad	5+	not found
86	Kazan	blue	4	500-700k	night	bad	3	found
87	Kazan	white	5+	700-1000k	night	good	4	not found
88	Chelyabinsk	black	2	500-700k	morning	mixed	3	not found
89	Novosibirsk	grey	4	200-300k	evening	good	2	not found
90	Kazan	red	2	300-500k	morning	bad	1	not found
91	Samara	grey	5+	700-1000k	evening	bad	3	found
92	Saint Petersburg	white	2	300-500k	afternoon	good	4	not found
93	Moscow	grey	4	1000-2000k	afternoon	mixed	1	not found
94	Moscow	black	4	200-300k	morning	mixed	3	not found
95	Samara	grey	4	500-700k	evening	mixed	4	not found
96	Saint Petersburg	black	4	700-1000k	afternoon	bad	5+	not found
97	Novosibirsk	red	2	150-200k	evening	bad	1	found
98	Kazan	white	2	150-200k	night	mixed	5+	found
99	Chelyabinsk	grey	4	2000k+	evening	bad	2	not found
100	Saint Petersburg	red	4	700-1000k	night	bad	4	found
101	Saint Petersburg	white	5+	150-200k	night	bad	2	found
102	Chelyabinsk	grey	4	150-200k	evening	bad	5+	not found
103	Moscow	red	2	700-1000k	evening	bad	1	not found
104	Moscow	grey	5+	150-200k	morning	good	5+	not found
105	Chelyabinsk	blue	4	500-700k	evening	bad	4	not found
106	Chelyabinsk	red	5+	200-300k	morning	good	4	found
107	Novosibirsk	grey	5+	300-500k	night	mixed	5+	found
108	Novosibirsk	grey	5+	1000-2000k	night	bad	5+	not found
109	Samara	blue	2	200-300k	afternoon	bad	5+	not found
110	Chelyabinsk	red	5+	1000-2000k	night	bad	3	not found
111	Kazan	red	4	500-700k	night	good	5+	not found
112	Moscow	red	4	1000-2000k	morning	mixed	2	found
113	Saint Petersburg	grey	5+	500-700k	afternoon	mixed	5+	not found
114	Yekaterinburg	grey	4	700-1000k	night	bad	3	found
115	Kazan	grey	4	1000-2000k	night	bad	2	not found
116	Moscow	black	5+	200-300k	afternoon	bad	4	found
117	Moscow	blue	2	200-300k	morning	bad	5+	not found
118	Samara	grey	2	300-500k	evening	good	4	not found
119	Kazan	blue	5+	700-1000k	morning	good	3	found
120	Kazan	blue	2	1000-2000k	morning	bad	4	not found
121	Novosibirsk	red	2	2000k+	night	mixed	1	not found
122	Samara	blue	4	700-1000k	afternoon	bad	4	not found
123	Kazan	black	4	2000k+	afternoon	good	3	found
124	Moscow	red	5+	700-1000k	afternoon	mixed	5+	found
125	Chelyabinsk	red	4	2000k+	morning	bad	4	not found
126	Chelyabinsk	blue	4	500-700k	evening	bad	1	not found
127	Moscow	white	5+	700-1000k	night	good	3	found
128	Chelyabinsk	black	5+	500-700k	evening	bad	4	not found
129	Kazan	blue	5+	500-700k	afternoon	good	2	found
130	Kazan	white	2	150-200k	morning	bad	2	found
131	Chelyabinsk	black	5+	200-300k	afternoon	bad	4	found
132	Kazan	blue	5+	300-500k	afternoon	mixed	2	found
133	Kazan	red	5+	200-300k	afternoon	bad	4	found
134	Chelyabinsk	white	5+	700-1000k	evening	bad	1	found
135	Chelyabinsk	black	4	150-200k	evening	bad	1	not found
136	Kazan	red	5+	1000-2000k	afternoon	bad	4	found
137	Moscow	black	5+	1000-2000k	evening	bad	5+	not found
138	Chelyabinsk	red	5+	200-300k	evening	bad	3	not found
139	Novosibirsk	white	2	700-1000k	afternoon	good	4	found
140	Chelyabinsk	blue	5+	2000k+	evening	bad	1	not found
141	Novosibirsk	white	2	700-1000k	morning	bad	1	found
142	Saint Petersburg	grey	4	150-200k	morning	bad	5+	found
143	Novosibirsk	black	2	300-500k	night	bad	4	not found
144	Novosibirsk	black	5+	2000k+	evening	bad	4	not found
145	Kazan	red	2	1000-2000k	afternoon	mixed	3	not found
146	Saint Petersburg	grey	4	300-500k	afternoon	good	5+	not found
147	Chelyabinsk	red	4	500-700k	evening	good	3	found
148	Moscow	grey	5+	700-1000k	evening	bad	2	found
149	Yekaterinburg	red	2	2000k+	evening	bad	5+	not found
150	Kazan	black	4	500-700k	morning	bad	1	found
151	Saint Petersburg	white	5+	300-500k	morning	bad	2	not found
152	Kazan	grey	5+	300-500k	night	mixed	4	not found
153	Yekaterinburg	blue	2	200-300k	afternoon	good	4	not found
154	Kazan	grey	2	200-300k	night	bad	4	found
155	Moscow	blue	4	200-300k	afternoon	bad	1	found
156	Samara	blue	4	2000k+	morning	good	4	found
157	Saint Petersburg	grey	4	500-700k	evening	good	4	not found
158	Chelyabinsk	white	5+	200-300k	morning	bad	2	not found
159	Yekaterinburg	grey	4	150-200k	afternoon	bad	5+	not found
160	Kazan	black	5+	1000-2000k	night	bad	5+	not found
161	Kazan	red	5+	200-300k	morning	bad	2	found
162	Moscow	blue	5+	1000-2000k	night	bad	2	found
163	Saint Petersburg	white	4	150-200k	evening	mixed	1	found
164	Chelyabinsk	white	4	500-700k	evening	mixed	1	found
165	Chelyabinsk	blue	2	200-300k	evening	good	2	not found
166	Yekaterinburg	grey	5+	2000k+	afternoon	bad	1	found
167	Chelyabinsk	grey	2	500-700k	evening	bad	4	found
168	Yekaterinburg	blue	2	500-700k	morning	bad	5+	not found
169	Chelyabinsk	black	4	1000-2000k	afternoon	bad	4	found
170	Novosibirsk	white	4	150-200k	evening	mixed	4	found
171	Kazan	grey	5+	150-200k	morning	bad	4	not found
172	Novosibirsk	grey	5+	2000k+	afternoon	good	4	found
173	Samara	black	5+	700-1000k	evening	good	3	found
174	Samara	blue	2	700-1000k	evening	mixed	4	found
175	Saint Petersburg	white	4	1000-2000k	afternoon	bad	5+	found
176	Novosibirsk	red	2	150-200k	evening	good	2	not found
177	Novosibirsk	red	4	500-700k	evening	good	3	not found
178	Moscow	blue	5+	1000-2000k	morning	bad	5+	found
179	Chelyabinsk	grey	2	150-200k	night	mixed	2	found
180	Yekaterinburg	red	5+	200-300k	evening	good	1	found
181	Chelyabinsk	red	5+	500-700k	night	good	5+	not found
182	Yekaterinburg	blue	5+	700-1000k	morning	bad	2	found
183	Yekaterinburg	blue	5+	1000-2000k	night	bad	4	not found
184	Yekaterinburg	blue	5+	150-200k	afternoon	mixed	1	found
185	Samara	grey	5+	150-200k	night	bad	3	not found
186	Novosibirsk	blue	5+	2000k+	evening	good	4	not found
187	Kazan	white	5+	1000-2000k	night	mixed	5+	not found
188	Kazan	black	4	1000-2000k	morning	good	3	not found
189	Moscow	white	2	150-200k	night	good	3	not found
190	Moscow	blue	2	200-300k	night	mixed	3	found
191	Saint Petersburg	blue	2	300-500k	afternoon	mixed	2	not found
192	Chelyabinsk	white	2	300-500k	afternoon	bad	5+	not found
193	Chelyabinsk	red	5+	150-200k	evening	good	2	not found
194	Saint Petersburg	red	4	150-200k	evening	good	3	not found
195	Moscow	black	2	700-1000k	evening	bad	4	not found
196	Yekaterinburg	grey	5+	1000-2000k	morning	bad	5+	not found
197	Samara	red	2	300-500k	afternoon	good	3	found
198	Novosibirsk	blue	5+	500-700k	afternoon	bad	1	not found
199	Samara	blue	5+	1000-2000k	evening	mixed	1	not found
200	Moscow	white	4	1000-2000k	afternoon	bad	1	found
201	Kazan	red	5+	700-1000k	night	bad	1	found
202	Saint Petersburg	white	4	500-700k	morning	mixed	5+	not found
203	Novosibirsk	black	4	1000-2000k	evening	good	1	found
204	Novosibirsk	blue	2	150-200k	evening	mixed	2	found
205	Samara	blue	2	300-500k	afternoon	bad	1	found
206	Kazan	black	5+	200-300k	evening	mixed	2	found
207	Kazan	black	4	200-300k	afternoon	bad	4	not found
208	Novosibirsk	blue	2	1000-2000k	night	bad	4	not found
209	Saint Petersburg	red	2	200-300k	morning	bad	2	not found
210	Chelyabinsk	red	4	500-700k	evening	bad	2	found
211	Yekaterinburg	red	5+	2000k+	morning	good	2	found
212	Saint Petersburg	black	2	150-200k	morning	mixed	3	not found
213	Samara	grey	2	150-200k	evening	bad	4	found
214	Chelyabinsk	blue	2	1000-2000k	afternoon	mixed	4	found
215	Yekaterinburg	grey	4	200-300k	evening	bad	1	not found
216	Kazan	white	5+	150-200k	evening	mixed	1	found
217	Novosibirsk	white	5+	150-200k	afternoon	mixed	1	found
218	Samara	red	4	1000-2000k	evening	good	3	found
219	Yekaterinburg	blue	4	2000k+	evening	mixed	2	found
220	Kazan	black	2	200-300k	night	mixed	2	not found
221	Novosibirsk	black	5+	500-700k	morning	good	5+	not found
222	Saint Petersburg	black	5+	1000-2000k	afternoon	mixed	5+	found
223	Samara	white	5+	1000-2000k	morning	bad	5+	not found
224	Yekaterinburg	white	5+	1000-2000k	morning	bad	3	found
225	Samara	red	4	500-700k	night	mixed	5+	not found
226	Novosibirsk	blue	5+	2000k+	morning	bad	2	not found
227	Moscow	blue	5+	700-1000k	afternoon	mixed	3	found
228	Chelyabinsk	white	4	1000-2000k	night	bad	2	found
229	Kazan	blue	2	500-700k	morning	bad	5+	not found
230	Novosibirsk	white	5+	2000k+	night	bad	2	not found
231	Yekaterinburg	white	2	2000k+	afternoon	mixed	3	found
232	Yekaterinburg	blue	2	2000k+	afternoon	mixed	5+	found
233	Samara	red	2	200-300k	evening	bad	4	not found
234	Novosibirsk	white	2	200-300k	morning	bad	2	not found
235	Kazan	white	5+	700-1000k	night	good	3	found
236	Chelyabinsk	red	4	200-300k	morning	mixed	1	found
237	Chelyabinsk	red	2	150-200k	evening	mixed	4	not found
238	Yekaterinburg	blue	4	200-300k	night	mixed	5+	not found
239	Moscow	black	2	2000k+	night	good	3	not found
240	Saint Petersburg	black	5+	1000-2000k	night	bad	1	not found
241	Saint Petersburg	blue	2	700-1000k	night	good	4	found
242	Chelyabinsk	black	2	700-1000k	afternoon	bad	1	found
243	Chelyabinsk	blue	2	1000-2000k	afternoon	bad	2	not found
244	Yekaterinburg	grey	4	700-1000k	afternoon	bad	2	found
245	Chelyabinsk	red	2	700-1000k	afternoon	bad	5+	not found
246	Moscow	white	2	300-500k	afternoon	good	2	not found
247	Yekaterinburg	red	5+	700-1000k	evening	bad	1	found
248	Moscow	red	5+	1000-2000k	afternoon	good	2	found
249	Kazan	blue	4	150-200k	morning	bad	2	found
250	Kazan	white	4	150-200k	afternoon	mixed	1	not found
251	Novosibirsk	blue	5+	200-300k	morning	mixed	5+	not found
252	Saint Petersburg	grey	5+	500-700k	evening	good	5+	found
253	Moscow	blue	5+	300-500k	afternoon	good	3	not found
254	Yekaterinburg	red	5+	300-500k	evening	bad	4	found
255	Saint Petersburg	grey	4	1000-2000k	night	mixed	5+	not found
256	Yekaterinburg	red	5+	200-300k	afternoon	bad	1	not found
257	Moscow	blue	2	300-500k	evening	bad	3	found
258	Kazan	grey	5+	2000k+	afternoon	mixed	3	not found
259	Moscow	blue	5+	2000k+	evening	bad	3	found
260	Yekaterinburg	white	4	150-200k	afternoon	mixed	3	not found
261	Moscow	red	5+	200-300k	evening	bad	4	not found
262	Novosibirsk	black	4	1000-2000k	evening	good	1	found
263	Yekaterinburg	red	2	2000k+	night	bad	2	found
264	Moscow	black	5+	1000-2000k	evening	bad	4	not found
265	Saint Petersburg	blue	2	300-500k	night	mixed	1	found
266	Novosibirsk	red	4	700-1000k	night	bad	2	not found
267	Yekaterinburg	white	5+	500-700k	evening	bad	1	not found
268	Novosibirsk	black	4	2000k+	morning	mixed	1	not found
269	Kazan	red	5+	700-1000k	evening	mixed	2	not found
270	Moscow	white	4	700-1000k	morning	mixed	1	found
271	Chelyabinsk	white	5+	500-700k	morning	good	5+	not found
272	Moscow	white	2	200-300k	morning	mixed	2	found
273	Novosibirsk	white	4	1000-2000k	night	mixed	3	found
274	Chelyabinsk	grey	2	1000-2000k	evening	bad	3	found
275	Chelyabinsk	blue	4	500-700k	morning	mixed	3	found
276	Samara	white	5+	150-200k	night	bad	5+	found
277	Saint Petersburg	white	5+	200-300k	morning	bad	2	not found
278	Kazan	grey	4	700-1000k	morning	mixed	2	found
279	Samara	white	4	700-1000k	afternoon	bad	2	found
280	Samara	grey	2	2000k+	night	bad	2	found
281	Moscow	black	4	300-500k	afternoon	bad	5+	found
282	Moscow	white	5+	150-200k	evening	mixed	3	found
283	Kazan	black	4	1000-2000k	afternoon	mixed	2	found
284	Samara	black	4	500-700k	night	mixed	5+	not found
285	Saint Petersburg	red	4	700-1000k	evening	bad	3	not found
286	Kazan	grey	4	500-700k	night	mixed	4	found
287	Kazan	red	5+	700-1000k	morning	good	1	not found
288	Chelyabinsk	blue	2	2000k+	morning	good	1	not found
289	Samara	red	5+	300-500k	night	good	2	found
290	Moscow	black	2	150-200k	evening	mixed	3	not found
291	Saint Petersburg	black	4	700-1000k	evening	mixed	3	not found
292	Yekaterinburg	grey	5+	200-300k	afternoon	good	3	found
293	Chelyabinsk	white	2	300-500k	evening	good	4	found
294	Novosibirsk	blue	5+	1000-2000k	evening	bad	5+	not found
295	Kazan	red	2	150-200k	afternoon	mixed	3	not found
296	Moscow	blue	5+	700-1000k	night	bad	4	not found
297	Chelyabinsk	blue	2	300-500k	afternoon	bad	3	found
298	Novosibirsk	blue	5+	200-300k	evening	mixed	3	not found
299	Novosibirsk	red	5+	500-700k	evening	good	4	not found
300	Chelyabinsk	grey	5+	150-200k	morning	good	2	found
301	Saint Petersburg	blue	2	300-500k	morning	bad	1	not found
302	Saint Petersburg	red	5+	150-200k	night	bad	3	found
303	Moscow	white	2	1000-2000k	evening	bad	5+	not found
304	Saint Petersburg	blue	4	300-500k	afternoon	bad	4	found
305	Novosibirsk	red	5+	1000-2000k	afternoon	bad	5+	not found
306	Saint Petersburg	red	2	700-1000k	evening	bad	5+	found
307	Kazan	grey	2	150-200k	evening	mixed	5+	found
308	Moscow	white	4	200-300k	night	bad	1	found
309	Novosibirsk	black	5+	300-500k	afternoon	bad	4	not found
310	Novosibirsk	black	5+	2000k+	evening	good	5+	found
311	Chelyabinsk	grey	5+	500-700k	evening	bad	5+	not found
312	Moscow	blue	2	500-700k	morning	bad	2	not found
313	Novosibirsk	white	4	300-500k	evening	good	2	not found
314	Yekaterinburg	black	2	1000-2000k	afternoon	good	4	found
315	Samara	white	4	700-1000k	evening	bad	1	not found
316	Samara	black	2	1000-2000k	night	bad	1	not found
317	Saint Petersburg	white	4	1000-2000k	afternoon	mixed	5+	found
318	Yekaterinburg	white	2	2000k+	afternoon	good	3	found
319	Novosibirsk	blue	2	150-200k	night	bad	1	found
320	Saint Petersburg	grey	5+	700-1000k	evening	good	1	found
321	Kazan	red	5+	200-300k	morning	bad	3	not found
322	Samara	blue	2	300-500k	afternoon	good	5+	not found
323	Yekaterinburg	black	5+	300-500k	morning	mixed	2	found
324	Chelyabinsk	black	5+	300-500k	night	bad	4	not found
325	Chelyabinsk	blue	5+	200-300k	morning	good	3	not found
326	Novosibirsk	blue	2	150-200k	afternoon	bad	3	not found
327	Chelyabinsk	black	4	300-500k	night	bad	4	not found
328	Moscow	white	2	200-300k	morning	mixed	4	not found
329	Saint Petersburg	white	5+	300-500k	night	good	1	found
330	Yekaterinburg	white	2	150-200k	evening	mixed	5+	found
331	Chelyabinsk	blue	4	1000-2000k	evening	bad	5+	not found
332	Yekaterinburg	grey	2	700-1000k	morning	mixed	4	found
333	Kazan	grey	4	700-1000k	afternoon	bad	3	found
334	Moscow	grey	2	150-200k	night	mixed	5+	found
335	Moscow	black	5+	150-200k	night	mixed	3	not found
336	Chelyabinsk	blue	5+	2000k+	morning	bad	2	found
337	Kazan	red	5+	500-700k	night	bad	5+	found
338	Chelyabinsk	grey	2	1000-2000k	morning	good	5+	found
339	Saint Petersburg	grey	2	2000k+	afternoon	bad	1	found
340	Kazan	black	2	2000k+	afternoon	bad	5+	not found
341	Samara	red	2	500-700k	night	good	2	not found
342	Novosibirsk	white	4	1000-2000k	night	bad	1	found
343	Yekaterinburg	black	2	200-300k	afternoon	mixed	1	not found
344	Saint Petersburg	black	4	1000-2000k	afternoon	mixed	4	not found
345	Samara	black	2	1000-2000k	night	bad	4	found
346	Chelyabinsk	grey	2	700-1000k	afternoon	mixed	4	found
347	Samara	blue	5+	150-200k	afternoon	bad	1	not found
348	Yekaterinburg	black	5+	300-500k	night	bad	3	not found
349	Saint Petersburg	grey	2	700-1000k	night	bad	1	found
350	Moscow	white	4	300-500k	morning	bad	3	found
351	Kazan	red	2	700-1000k	morning	bad	3	not found
352	Moscow	black	2	700-1000k	evening	bad	1	not found
353	Chelyabinsk	black	2	300-500k	night	mixed	3	not found
354	Novosibirsk	blue	4	500-700k	night	good	3	not found
355	Saint Petersburg	white	2	500-700k	evening	mixed	2	not found
356	Samara	grey	2	200-300k	night	good	4	not found
357	Saint Petersburg	red	4	200-300k	evening	good	4	found
358	Chelyabinsk	black	5+	300-500k	afternoon	bad	3	found
359	Saint Petersburg	grey	2	2000k+	evening	good	4	not found
360	Novosibirsk	grey	2	700-1000k	afternoon	good	1	not found
361	Samara	blue	2	500-700k	afternoon	mixed	4	found
362	Saint Petersburg	red	4	150-200k	morning	bad	3	found
363	Moscow	red	4	150-200k	morning	bad	1	found
364	Chelyabinsk	black	2	1000-2000k	afternoon	bad	2	found
365	Chelyabinsk	grey	2	2000k+	evening	bad	3	found
366	Kazan	grey	5+	2000k+	morning	mixed	4	found
367	Chelyabinsk	black	2	500-700k	evening	bad	3	not found
368	Chelyabinsk	black	2	200-300k	night	good	4	found
369	Yekaterinburg	red	4	700-1000k	night	good	2	found
370	Saint Petersburg	black	2	700-1000k	evening	good	5+	not found
371	Saint Petersburg	black	2	150-200k	night	bad	1	found
372	Kazan	red	4	150-200k	afternoon	mixed	3	not found
373	Novosibirsk	red	4	700-1000k	morning	mixed	5+	not found
374	Kazan	blue	5+	500-700k	evening	good	2	found
375	Saint Petersburg	grey	2	1000-2000k	afternoon	bad	3	found
376	Kazan	black	5+	2000k+	evening	bad	5+	found
377	Kazan	black	5+	150-200k	morning	good	1	found
378	Saint Petersburg	blue	2	1000-2000k	morning	good	1	found
379	Chelyabinsk	white	2	2000k+	night	bad	3	not found
380	Samara	white	5+	700-1000k	morning	bad	4	not found
381	Novosibirsk	grey	4	200-300k	night	good	3	found
382	Saint Petersburg	blue	4	2000k+	morning	good	3	found
383	Novosibirsk	grey	4	1000-2000k	afternoon	good	2	not found
384	Moscow	red	5+	200-300k	afternoon	bad	5+	found
385	Novosibirsk	grey	5+	1000-2000k	morning	bad	4	not found
386	Chelyabinsk	black	2	1000-2000k	evening	bad	2	found
387	Novosibirsk	red	4	300-500k	night	mixed	2	found
388	Novosibirsk	blue	4	1000-2000k	afternoon	mixed	1	not found
389	Novosibirsk	white	2	2000k+	evening	good	2	not found
390	Yekaterinburg	blue	2	700-1000k	night	mixed	4	not found
391	Kazan	grey	4	500-700k	afternoon	good	5+	found
392	Kazan	black	2	700-1000k	afternoon	bad	4	not found
393	Saint Petersburg	red	5+	700-1000k	night	good	2	not found
394	Yekaterinburg	grey	4	2000k+	afternoon	bad	2	found
395	Novosibirsk	blue	5+	150-200k	night	mixed	5+	not found
396	Chelyabinsk	red	4	2000k+	afternoon	bad	4	found
397	Yekaterinburg	blue	4	1000-2000k	morning	mixed	3	found
398	Kazan	blue	2	2000k+	afternoon	good	2	found
399	Yekaterinburg	white	5+	300-500k	morning	bad	3	found
400	Yekaterinburg	red	2	150-200k	morning	bad	4	found
401	Kazan	white	2	2000k+	afternoon	mixed	5+	not found
402	Yekaterinburg	grey	4	300-500k	evening	bad	2	found
403	Chelyabinsk	white	4	150-200k	evening	bad	3	not found
404	Yekaterinburg	grey	5+	700-1000k	evening	bad	3	found
405	Novosibirsk	red	2	2000k+	afternoon	bad	5+	found
406	Kazan	grey	5+	200-300k	evening	mixed	2	not found
407	Saint Petersburg	black	2	700-1000k	evening	bad	4	not found
408	Kazan	red	5+	1000-2000k	evening	mixed	3	found
409	Novosibirsk	grey	5+	300-500k	evening	good	5+	not found
410	Novosibirsk	blue	4	2000k+	evening	bad	4	found
411	Samara	red	2	500-700k	night	bad	3	found
412	Chelyabinsk	blue	4	150-200k	morning	mixed	4	not found
413	Samara	red	5+	200-300k	afternoon	good	4	found
414	Saint Petersburg	red	5+	150-200k	evening	bad	3	not found
415	Yekaterinburg	black	4	1000-2000k	evening	bad	5+	found
416	Yekaterinburg	blue	4	700-1000k	afternoon	mixed	1	found
417	Moscow	black	5+	150-200k	afternoon	bad	5+	found
418	Saint Petersburg	blue	2	300-500k	morning	bad	2	found
419	Yekaterinburg	black	5+	2000k+	evening	good	4	found
420	Novosibirsk	black	2	1000-2000k	evening	good	3	not found
421	Chelyabinsk	red	2	2000k+	evening	bad	1	found
422	Moscow	white	5+	1000-2000k	night	bad	3	not found
423	Yekaterinburg	black	5+	150-200k	night	bad	3	not found
424	Yekaterinburg	red	2	700-1000k	evening	mixed	2	not found
425	Samara	black	4	700-1000k	afternoon	mixed	5+	found
426	Chelyabinsk	grey	4	700-1000k	night	good	4	not found
427	Samara	black	4	200-300k	night	mixed	1	not found
428	Kazan	red	5+	500-700k	afternoon	mixed	4	found
429	Yekaterinburg	black	4	300-500k	night	mixed	3	not found
430	Saint Petersburg	red	5+	2000k+	evening	good	5+	found
431	Moscow	grey	4	200-300k	night	bad	2	not found
432	Chelyabinsk	black	4	300-500k	morning	bad	5+	not found
433	Yekaterinburg	blue	5+	150-200k	evening	good	5+	not found
434	Chelyabinsk	grey	4	2000k+	morning	bad	2	found
435	Kazan	black	4	300-500k	evening	bad	5+	found
436	Samara	white	2	150-200k	night	bad	2	found
437	Saint Petersburg	black	2	1000-2000k	afternoon	good	2	found
438	Kazan	red	2	500-700k	evening	good	2	found
439	Saint Petersburg	blue	5+	500-700k	morning	good	2	not found
440	Kazan	grey	2	200-300k	morning	bad	3	found
441	Moscow	red	5+	200-300k	evening	good	3	found
442	Samara	white	2	200-300k	night	good	2	found
443	Saint Petersburg	red	4	2000k+	morning	good	2	not found
444	Chelyabinsk	red	2	300-500k	morning	bad	1	not found
445	Yekaterinburg	black	4	2000k+	afternoon	bad	1	not found
446	Yekaterinburg	black	4	200-300k	evening	bad	3	not found
447	Samara	red	5+	500-700k	night	good	3	not found
448	Samara	blue	4	1000-2000k	night	bad	2	not found
449	Yekaterinburg	black	2	500-700k	afternoon	bad	1	not found
450	Yekaterinburg	grey	2	150-200k	afternoon	mixed	1	found
451	Saint Petersburg	grey	4	500-700k	afternoon	mixed	3	not found
452	Moscow	red	2	500-700k	morning	bad	2	found
453	Saint Petersburg	white	5+	150-200k	evening	bad	1	not found
454	Samara	grey	5+	300-500k	night	bad	1	not found
455	Samara	black	4	150-200k	morning	mixed	2	found
456	Chelyabinsk	red	4	150-200k	night	good	3	not found
457	Chelyabinsk	black	2	1000-2000k	night	bad	5+	not found
458	Saint Petersburg	grey	2	500-700k	evening	bad	1	not found
